Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\Platforms\Windows\App.xaml.cs,16,8,M:Microsoft.Maui.MauiWinUIApplication.#ctor,,,,,public App()          {              this.InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\Platforms\Windows\App.xaml.cs,10,31,T:Microsoft.Maui.MauiWinUIApplication,,,,,MauiWinUIApplication
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\MainPage.xaml.sg.cs,27,3,T:Microsoft.Maui.Controls.NameScopeExtensions,,,,,"blazorWebView = global::Microsoft.Maui.Controls.NameScopeExtensions.FindByName<global::Microsoft.AspNetCore.Components.WebView.Maui.BlazorWebView>(this, ""blazorWebView"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\MainPage.xaml.sg.cs,27,3,"M:Microsoft.Maui.Controls.NameScopeExtensions.FindByName``1(Microsoft.Maui.Controls.Element,System.String)",,,,,"blazorWebView = global::Microsoft.Maui.Controls.NameScopeExtensions.FindByName<global::Microsoft.AspNetCore.Components.WebView.Maui.BlazorWebView>(this, ""blazorWebView"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\obj\Debug\net9.0-windows10.0.19041.0\win10-x64\Microsoft.Maui.Controls.SourceGen\Microsoft.Maui.Controls.SourceGen.CodeBehindGenerator\MainPage.xaml.sg.cs,26,3,T:Microsoft.Maui.Controls.Xaml.Extensions,,,,,"global::Microsoft.Maui.Controls.Xaml.Extensions.LoadFromXaml(this, typeof(MainPage));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MainPage.xaml.cs,4,8,M:Microsoft.Maui.Controls.ContentPage.#ctor,,,,,public MainPage()          {              InitializeComponent();          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MainPage.xaml.cs,4,8,M:Microsoft.Maui.Controls.ContentPage.#ctor,,,,,public MainPage()          {              InitializeComponent();          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MainPage.xaml.cs,2,36,T:Microsoft.Maui.Controls.ContentPage,,,,,ContentPage
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MauiProgram.cs,9,4,T:Microsoft.Maui.Hosting.MauiApp,,,,,public static MauiApp CreateMauiApp()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MauiProgram.cs,76,8,T:Microsoft.Maui.Hosting.MauiApp,,,,,return builder.Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,OptionA.Blazor.Maui.Test\OptionA.Blazor.Maui.Test.csproj,File,OptionA.Blazor.Maui.Test\MauiProgram.cs,76,8,M:Microsoft.Maui.Hosting.MauiAppBuilder.Build,,,,,return builder.Build();
